Indicator;Economic activity;Year;Number of Employees
Total employment (Domestic concept);C Manufacturing;2004;159328.0
Total employment (Domestic concept);D Electricity, gas, steam and air conditioning supply;2004;N/A
Total employment (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2004;N/A
Total employment (Domestic concept);F Construction;2004;67627.0
Total employment (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2004;281728.0
Total employment (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2004;257244.0
Total employment (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2004;N/A
Total employment (Domestic concept);H Transportation and storage;2004;N/A
Total employment (Domestic concept);I Accommodation and food service activities;2004;N/A
Total employment (Domestic concept);J Information and communication;2004;24483.0
Total employment (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2004;84101.0
Total employment (Domestic concept);K Financial and insurance activities;2004;17181.0
Total employment (Domestic concept);L Real estate activities;2004;19357.0
Total employment (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2004;47563.0
Total employment (Domestic concept);M Professional, scientific and technical activities;2004;N/A
Total employment (Domestic concept);N Administrative and support service activities;2004;N/A
Total employment (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2004;239028.0
Total employment (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2004;196774.0
Total employment (Domestic concept);O Public administration and defence, compulsory social security;2004;N/A
Total employment (Domestic concept);P Education;2004;N/A
Total employment (Domestic concept);Q Human health and social work activities;2004;N/A
Total employment (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2004;42254.0
Total employment (Domestic concept);R Arts, entertainment and recreation;2004;N/A
Total employment (Domestic concept);S Other service activities;2004;N/A
Total employment (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2004;N/A
Employees (Domestic concept);TOTAL TOTAL;2004;833382.0
Employees (Domestic concept);A Agriculture, forestry and fishing;2004;37902.0
Employees (Domestic concept);B_C_D_E Industry - total;2004;177544.0
Employees (Domestic concept);B Mining and quarrying;2004;N/A
Employees (Domestic concept);C Manufacturing;2004;153693.0
Employees (Domestic concept);D Electricity, gas, steam and air conditioning supply;2004;N/A
Employees (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2004;N/A
Employees (Domestic concept);F Construction;2004;59612.0
Employees (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2004;263103.0
Employees (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2004;240662.0
Employees (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2004;N/A
Employees (Domestic concept);H Transportation and storage;2004;N/A
Employees (Domestic concept);I Accommodation and food service activities;2004;N/A
Employees (Domestic concept);J Information and communication;2004;22441.0
Employees (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2004;75771.0
Employees (Domestic concept);K Financial and insurance activities;2004;16897.0
Employees (Domestic concept);L Real estate activities;2004;18352.0
Employees (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2004;40522.0
Employees (Domestic concept);M Professional, scientific and technical activities;2004;N/A
Employees (Domestic concept);N Administrative and support service activities;2004;N/A
Employees (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2004;219450.0
Employees (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2004;192362.0
Employees (Domestic concept);O Public administration and defence, compulsory social security;2004;N/A
Employees (Domestic concept);P Education;2004;N/A
Employees (Domestic concept);Q Human health and social work activities;2004;N/A
Employees (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2004;27088.0
Employees (Domestic concept);R Arts, entertainment and recreation;2004;N/A
Employees (Domestic concept);S Other service activities;2004;N/A
Employees (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2004;N/A
Self-employed (Domestic concept);TOTAL TOTAL;2004;127237.0
Self-employed (Domestic concept);A Agriculture, forestry and fishing;2004;65542.0
Self-employed (Domestic concept);B_C_D_E Industry - total;2004;7147.0
